date,quarter,title,pros,cons,category
30-Jan-16,1,Fast Paced - Change Mgmt,Great opportunity to grow and learn,Hard to balance work-life and keep up with the workload,
31-Jan-16,1,Project manager,Good company to work for. Pay and benefits are good.,Job responsibilities seen to change frequently with very little notification and or training.,
31-Jan-16,1,Honeywell,"401K less than it used to be, but better than most still.",Work life balance can be challenging.,
31-Jan-16,1,Solid Company,"Autonomy, no micromanagement, smart people.","None, none, none, none, none.",
31-Jan-16,1,Business Dev.,Great colleagues and manager. Work from home flexibilty.,Leadership Expectations unrealistic. No work life balance. Slow moving to implement change. Furloughs a reality in 2016 for Industrial Safety group. Under resourced in all areas. Benefits keep getig reduced. No pay increases.,
01-Feb-16,1,Marketing Coordinator,Very friendly atmosphere. Great opportunity to make a positive impact for people in my community & throughout LI.,contracted position which was dependent upon a reasonable bid.,
01-Feb-16,1,Ok - Company,Able to work in various positions,"under paid, too many change of management",
02-Feb-16,1,Great company to work for,Advanced technology with talent people,None to my best knowledge,
02-Feb-16,1,Great Company,Great benefits. Great working environment. They supply everything you need to get your job done right. They use only the best equipment.,"Long hours. They try to do more, with less. Management is not always available. To many meetings. To many bosses.",
02-Feb-16,1,Lead Business Analyst,Autonomy in the work place. Flexibly work schedule. Tele commuting,Company is doing a significant amount of outsourcing,
02-Feb-16,1,Save the Stockprice,"Generally great people to work with. The benefits are decent, for the most part. Shifts are reasonable.","People are laid off in one breathe and they are celebrating making all of the company goals, including income. People need to do more with less people. Departments are bare bones. Memorial Day and Labor Day holidays were taken away and replaced with floating holidays so people are forced to work them.",
02-Feb-16,1,Analyst II Operational Excellence,Close to home and business at site was growing.,Consistent long hours with very little back up.,
03-Feb-16,1,Digital Content Specialist,Fortune 500 CompanyOpportunity for Growth,The Medical Benefits are geared more toward a single person vs a family or even a single parent,
04-Feb-16,1,Good employer,"Constant work, good hours and safe working environment.",Health insurance not great. Contract position.,
04-Feb-16,1,finance intern,great company where you can learn about a lot of different functions. They tend to promote from within which is good for moral and overall atmosphere.,the pay is pretty stagnant if you take part in their analyst program. Although they promote from within it may not be suitable for the more ambitious types.,
05-Feb-16,1,Once a great place to be an engineer,"Stable, well-performing publicly owned company. CEO has done a good job maximizing the value to shareholders. Good benefits but costs now being passed on to employees.","Aerospace division suffers from glut of politically correct middle-managers with little talent and no vision, a functional matrix organization where no one is in charge but everyone can block progress, job deflation caused by export of real engineering work to 'high-growth' regions of the world, and hyper-focus on process improvement and project (micro) management over pragmatic engineering excellence to get results.",
05-Feb-16,1,Review,Large business with a global foot print,Many jobs moving to China,
06-Feb-16,1,Cote - Break 'er up!,Steady employment until you get MULA'd.,Benefits decreading every year. Conglomerate setup is not focused on growth marlets and stagnant.,
07-Feb-16,1,Central Plant Operator,"This job had a good environment, decent befits, very good job security, annual raises, and a good team atmosphere.",Rotating shift work is a little hard to get used to. Annual raises are not as high as they could be. Little upward mobility.,
08-Feb-16,1,Pretty Stable,"Stability, good vacation & paid time off.",Get your money upfront. Raises are typically yearly but only for small amounts. If in small/smallish town you will have to move to grow.,
08-Feb-16,1,"Manager, Project IT",Wonderful people on team. Demanding and fast paced environment. Good place to work if you are young and right out of school.,"No room for promotion unles you are one of the chosen few. Lousy merit increases. Always rumors of reductions in force. Management in Aerospace are always crying slow performance yet attend expensive resorts for meetings, fly internationally when not required, and take pay cuts out on the workers exempting themselves. Then they turn around to Wall Street and say that they beat their performance forecast.",
09-Feb-16,1,Human Resource Manager,Being a diversified manufacturer provides many different opportunities in terms of locations and industries. Having portfolio divisions allows Honeywell to ride out economic down-cycles better than most other firms. Progressive HR that values business partnering and business acumen. Great training for early career HR professionals.,"A company this size will obviously have politics, red tape, and bureaucracy. Career development support can be spotty and highly dependent on who your specific manager is.",
10-Feb-16,1,Best place for advancement!,They let you achieve what your capabilities will afford you.,"Retired too soon, miss the day to day action.",
10-Feb-16,1,Operator,Great company to be able to advance and retire.,"Sometime working in extreme weathers can be challenging. Also, sometimes long hours of having to work overtime is difficult but it works for me.",
10-Feb-16,1,Areospace,Some very good people to work with around the country.,Constant knowledge drain throughout the aerospace division due to poor decisions in upper managements desire to globalize.,
11-Feb-16,1,Good work environment,Good team members and team leader,some times night shift to complete project in time.,
12-Feb-16,1,Contact work,"Good wages, great hours if you are in the right department.",Lack of commitment if you do a great job while on contract. With management worried more about their bones than the teams.,
12-Feb-16,1,Commodity Manager,Flexible time schedules as long as your work is done.,Over regulated and almost no concern for small business requirements of government contracts.,
13-Feb-16,1,Good Company if you can travel,Plenty of locations and positions. You can grow your career through internal transfers. The ISC world really pushes good employees and rewards them.,Staying in one location can limit career growth. The engineering world is a bit stuck in the past and still rewards years of service over talent.,
13-Feb-16,1,Bilingual Dispatcher,Good work environment and good management . The team is is continuously training and improving their work performance.,"Their is no room to grow and the employee schedule is not is aligned with the business needs.Additionally, the supervisors are not capable to improve the scheduling issue.",
15-Feb-16,1,Software Engineer,There is ample challenging work to do if you are self motivated. They have a wide portfolio of products so you can find your niche.,"There are too many managers, which can result in loss of productivity due to the bureaucracy involved. The health care benefits have been progressively worsening.",
15-Feb-16,1,HOS Culture,Honeywell Operating System - Lean Six Sigma culture!,Soft global demand impacting workforce.,
15-Feb-16,1,Don't see a long future here... but not by my choosing.,"Great Pay. A lot to learn. Friendly, helpful employees.","Most manager do not have machining experience or knowledge. Employee satisfaction is not good, nor a focus. Constant rumors and signs company will be moving all work south of the border.",
15-Feb-16,1,project engineering in Space electronics,"Compensation is fairly competitive as other similar size corporations likes GD, except for company sponsored health insurance. Good compensation for 401k match, 75%. Salary range is about market value.","Work is more exciting at commercial aviation segments, space and defense mostly have maintenance programs, and not so much going with Cost plus programs. Most of the big programs normally go budget overrun. There is mandatory overtime (now politically referred to as ""Engineering Efficiency Index"") 10% requirement highly encouraged and is tracked for performance review and merit determination. The issue with it is that it makes it difficult to meet the ""OT"" yield when work is slow but you're still expected to fulfill that objective. Otherwise, you get busy and go easily over 10% with the active ramp-up projects. Budget for burden projects are not approved easily.",
16-Feb-16,1,CM Analyst,"I enjoyed working with the engineers outside of my department, the money was decent for first job out of college. My supervisor did the best with what she had.",The politics in my department. Benefits were not good. No upward mobility. The outlook of my location was pretty vgrimat the time I left. No training whatsoever.,
17-Feb-16,1,Production Assembler,A very friendly place.,nothing bad to say about this company,
18-Feb-16,1,unfair treatment,The company has good pay and has good benefits. Has been stable since 2009 about providing jobs in a bad situation.,the company will have a set of rules that only applies to certain people when they want to like tardiness and absenteeism and production quotas,
20-Feb-16,1,Poor management,Flexible work schedule. Decent pay. 401k match. 8% of annual salary.,Management doesn't listen to the employees they do what they want to do,
21-Feb-16,1,"Great mission, fluctuating benefits","Great mission impacting national security. Great job security with a lot of opportunity for growth and/or advancement, especially for those early in career.","Benefits have been changing rapidly over the last three to four years. 401k matching is reduced, healthcare has moved to High Deductible Healthcare Plan without a reduction in premiums. Pensions are no more for new hires.",
21-Feb-16,1,Marketing Manager,"Work flexibility (work from home), large company that does provide advancement opportunity (especially if you're willing to travel), stable organization that delivers on shareholder expectations","Disconnected leadership, convoluted processes that are seldom followed, continually dwindling resources and hardcore cost-cutting culture, poor benefits (very high healthcare deductibles), extremely controversial biometric screening requirement (Honeywell is currently being sued by the Federal Government for this), slightly lower pay across the board (but especially in marketing), layoffs and offshoring at every turn, challenging business outlook (for our particular business unit)",
21-Feb-16,1,Manager Manufacturing Equipment,Autonomous ability to drive daily results and alignment to greater results across site. Company is very people focused and drives to satisfy customers.,"As a manufacturing site in the US many resource are difficult to get, constant starts and stops in converting temp labor to perminate frustrates everyone in the process.",
21-Feb-16,1,Logistics Supervisor,"People are great, not management.",Pay and benefits are disgusting the worst.,
22-Feb-16,1,SAP IT Project Manager,Excellent global manufacturer diverse portfolio,Profit maximization through out sourcing.,
22-Feb-16,1,Good Opportunities,is a great company with allot of headroom to progress if you network and excel,no place is perfect but if you learn to not complain and work hard and diligently the rewards are there,
22-Feb-16,1,Good Times,Work was good and people nice.,Too bad contracted ended. Was a good place.,
23-Feb-16,1,The Journey,Improvement opportunities and customer focus,Large and complex processes lacking management systems,
23-Feb-16,1,Energy Analyst,"Great company and CEO, David Cote really inspire.",Atlanta call center management out of touch with employees.,
23-Feb-16,1,Not what you think.,"Good company to make your resume shine,",TOO BIG OF A COMPANY TO CARE ABOUT EMPLOYEES,
24-Feb-16,1,Great place to work,"Competitive salaries, flexible schedule, excellent opportunities for growth, and great relocation packages.",Not so great health insurance and other benefits.,
24-Feb-16,1,Corporate overhead is burdensome but good work/life balance,"Immediate business leaders are well thought of, very good work/family balance, many people have worked here a very long time","Corporate overhead in terms or reporting monthly financial metrics can be over bearing. Slow moving company, very conservative. Changing toolsets make doing every day tasks difficult.",
24-Feb-16,1,Engineer,Very good learning - techie,too much work pressure and Politics,
26-Feb-16,1,Great company to start a career,Great company with flexible working schedule. The offer multiple opportunities and career advancement,Work can be slow in the beginning and take a while to get moving for most people.,
26-Feb-16,1,Subcontract Manager,Working with very smart engineers who re some of the best people around,"***Stay away from this company***Leadership is very shallow and any promotion is based on facade, golf connections and office romance! Your skill sets are purely secondary!~Metrics are constantly shifting higher with the intent to make the obese CEO richer ; pay raise / pay increases are tragic.",
29-Feb-16,1,Honeywell Review,"This was the greatest job I ever had. The job i had was so high profile with the government that engineering had final say over anything related to production. It was really nice having professional who understood what was most important for the quality production of hardware and importance of the customers needs.I felt I was thanked and well considered when I pointed out minute micro flaws plaguing a functional surface. Always receiving the work instructions to correct it or an excellent answer to continue processing as normal. I was never told ""because I said.""I helped build products I was 100% confident were built right because I had this this support to fall back on when I needed.","Cost cutting culture concerning manpower and resources, Constant expectations to meet budget and schedule milestones that seem to be unattainable.",
29-Feb-16,1,"Meh! Lots of hours, little fun, stable employment","I feel my position is stable. In addition, there are many other opportunities in a company this size. Those opportunities can be in a different field or different business unit and even a different industry.",The company is very focused on a lean operation - to the extent that it becomes hard to get anything done. Everyone is overworked. People you rely on are slow to respond -or just flat out tell you they can't support you. But that doesn't stop the pressure to produce. Company culture is all about getting the job done. There is no sense of team. You are a small cog in a big machine.,
01-Mar-16,1,Director learning,Great team and well run company,Large dispursed organization makes working in teams a challenge.,
02-Mar-16,1,Honeywell,"Great products, great people, great work environment.",Many previous benefits have been reduced and/or increased employee contributions towards benefits.,
02-Mar-16,1,Engineering Manager Thoughts,"Honeywell demands great behaviors and code of conduct. It has good positions in good/growing business segments. Honeywell has a fabulous CEO, Dave Cote, who has vision and tremendous business sense.","The industry, and Honeywell's, move to higher deductible health care plans has made it difficult for many singles and families.",
02-Mar-16,1,Not Bad nor too good to work with,Flexible work hours and lot of things to learn,Payments are on very low side,
02-Mar-16,1,HSE,"Some truly talented professionals, but they don't stay very long.",No on-boarding/orientation for staff members. Huge programs that are continuously being changed and modified. Huge staffing issues. Low pay forced time off without pay. Little to no support from upper management. Completely a matrix driven company (Check the box whether it is correct or not and move on),
02-Mar-16,1,"Poor benefits, tiny or 0 raises","There seems to be good job security. Hours are not too strenuous: 45 hours per week. Willing to support continuing education. Working with a diverse, cross-functional and international team.","Upper management does not seem to care about retaining talent in engineering. Lots of perks and attention to the business functions, but none given to engineering except for pats on the back when things go well. Tiny raises in good years, zero raises in times of economic uncertainty (so guess how often that happens). Very little opportunity for advancement. Benefits, specifically health care, are terrible. Health care has very high premiums and is a high deductible plan - it's supposed to be one or the other. The message we hear every day is that the stockholders are the only people who matter - this results in a short-term perspective that is all about stock price today.",
05-Mar-16,1,Honeywell - Overall great workplace,Salary is competitive. Plenty of room for growth and movement to various disciplines based on size of company and multiple nearby sites.,Top heavy in management. Aviation is currently in a lull.,
07-Mar-16,1,Honeywell is a great place to work,"great pay, great people and exciting work",large company managing margins to increase earnings,
08-Mar-16,1,Honeywell,"nice working environment, flexible working time, competitive salary package","vertical organizaiton, a bit bureaucracy, office politices",
08-Mar-16,1,Mechanical Engineer II,Great flexibility and allows for well balanced work/personal life.,Have to keep track of time worked on each project on a daily basis.,
08-Mar-16,1,Working for Honeywell,Great people make the job rewarding. Opportunities to be promoted from within.,"Company made 38.6 Billion in 2015, no one got raises. Excessive overtime. Company does more to keep shareholders happy than they do employees. Distribution Centers (Warehouses) increase profit by shipping orders early to customers, even taking shipments out through the following month to increase revenue in the current month. This increases demand on man-hours to make up the lost revenue the following month and then compounds overtime to show false profits.",
09-Mar-16,1,Program Manager,Professional Engineers are top notch,A lot of paperwork involved,
09-Mar-16,1,Secure Company with a Strong Portfolio,"Secure, good benefits, lots of overtime, education benefits and love to hire internally.",Health insurance is mediocre w/high deductible,
09-Mar-16,1,Total Change Over of ACS Top Leadership,Lots of potential of this company to drive organic growth. Lots of good talented people,"Short term focused - poor investment in long term growth -- lean org, all about cutting to make short term bottom lineBenefits get worse each year",
10-Mar-16,1,Marketing administrator,Honeywell- Challenging jobs with advancement based on performance.,Top level company management more remote since physical move out of Minneapolis,
10-Mar-16,1,Control Engineer,"Good money, nice contract employees","poorly organized, run by almost all contract employees",
12-Mar-16,1,Good place to work,Good and challenging projects in Display and Graphics department,"Low salaries, and letting the talent go away",
13-Mar-16,1,Nice place to work and learn,Good learning curveGrants opportunity to explore and take up initiativesGood work environment and culture,Not very good benefit and compensation offer,
14-Mar-16,1,Director of IT,Very profitable and growing company which hires only the best talent,Too many changes in the IT organization and morale generally average to poor,
15-Mar-16,1,Director,"Great place to apply technical skills, sharpen business acumen, and no shortage of opportunity to take on new challenges if you are hard working and willing to leave your comfort zone.",Developed region working environment facing constant pressure to downsize and diminishing value proposition for individual contributors who see declining benefits over time.,
15-Mar-16,1,Great Place to Work,NA,"I do not believe a true ""con"" exists beyond typical things that make work work.",
15-Mar-16,1,Good Place to Work,Good working culture. Talented pool of professionals.,Low in salary as compared to market competitors.,
15-Mar-16,1,Senior Engineer,"Good Salary,Moderate Work Life Balance","More politics, More Process Oriented",
15-Mar-16,1,Growing marketing department,Challenging and rewarding work supporting energy efficiency programs across the country.,"Growing pains are inevitable, but I have confidence in the marketing team they have in place.",
15-Mar-16,1,Move on if you are able,Hardworking and talented co-workers. Work was varied and sometimes challenging. Most times replacement tools or upgraded equipment was not hard to request and receive.,"You are expected to put in constant overtime - hourly or salary - even if there isn't enough work to justify it. Stack ranking style reviews. Micromanagement through the use of HOS rules right down to what you can throw in your trash can. A pay scale that used to be transparent - now it is a big secret. Lack of merit raises or promotion on said secret pay scale. Benefits that have been constantly culled. Only high deductible insurance plans available with health screening requirements to get a ""discount"". Workers treated like kindergartners with respect to safety i.e no pointed scissors allowed. I could go on...but just read the other reviews and you will see enough correlation.",
15-Mar-16,1,seeing things in the right lens,work life balance is good,"Project close , there was many layoffs and furlows not on basis of performance ,",
16-Mar-16,1,Honeywell Aerospace,"Friendly, professional and progressive. Heavy use of contractors.",Frequent business fluctuation. Contractors are frequently the first victims of downsizing.,
16-Mar-16,1,Staffing Specialist,Honeywell is a huge company with great brand recognition. I have worked here a very long time and have learned a lot. Work long hours but management is very flexible.,Benefits seem to get worse and worse as times goes on.,
16-Mar-16,1,Great People!,The people here are very knowledgeable and helpful. You learn so much from people that have been in the industry for 20+ years.,"There is too much focus on finances and budgets, management is pressured to reduce cost to serve, and high level management is only looking out for company profits. There are layoffs every few years and furloughs. The company does not value loyalty and doesn't take care of its employees.",
17-Mar-16,1,Operation,"Honeywell is great company, and has systemic training, with lots of useful resources, and smart people.","The organization is too big, and communication process is long.",
17-Mar-16,1,Boring and little job security,Great people and decent pay,Mind numbing work in the quality side.,
18-Mar-16,1,A lousy place to work at,there is nothing good about this company. now it mostly turned in to a sweatshop. When it was AlliedSignal it was a great place to be at.,"Benefits?... What benefits high deductible insurance but they are ""generous"" to cover the monthly fee for your insurance card. They want more and more from their employees but give very little to nothing in return. I were looking for employment I would pass on this company.",
19-Mar-16,1,Overall good experience. Good people and the company is always looking to push it's employees up the ladder.,"Great pay, fair training and good opportunity. Some management will listen and not micro manage, some won't. Also great training for moving on outside of Honeywell.","Way to much checking, re-checking and re-checking the already re-checked. The ops managers think they know what is best regardless of what people suggest.",
21-Mar-16,1,Heating Season,"Easy work, pretty interesting good co-workers",No management present ever. Lots of downtime.,
21-Mar-16,1,Tech Support,"Solid growing company, descent benefits,","Totally sales Oriented, need to invest more in technology",
21-Mar-16,1,Dev / Ops Technical Manager,Challenging and broad skill set expansion opportunities. Great team members and strong work community.,Too many divisional managers with no real understanding of technical requirements. Offshore team work makes for an odd and disruptive set of work hours.,
22-Mar-16,1,Recent Job,"Large company, benefits are typical; not great but OK",No work life balance at all. They expect you to put in 70-80 hrs per week. Do not have enough people.,
23-Mar-16,1,Business Analyst,Great people to work with and the programs are exciting.,There was layoffs because the program was over budget.,
23-Mar-16,1,HVAC Engineer,"Awesome benefits, great place to work",Lack of management communications within,
23-Mar-16,1,R&D Engineer,"Good people, nice environment, big organization","Too much politics, complicated procedure",
24-Mar-16,1,Awesome,ANyone can get easily adapatable to the work environment.,No cons from my side,
24-Mar-16,1,Good but not up to date,Great team and atmosphere and very tenured employees. Great place for veterans.,Located on Marine base (Blount Island) which is isolated. Computers and everything else is outdated.,
24-Mar-16,1,Nothing Good,The people. The people who make the product. The ones who are forced to work overtime. Giving up weekends so those on top get their bonus,"High stress. Under staffed. Overworked. No women in leadership roles. If you have a family you will not advance. If your older, you will be let go. Young, male dominance in leadership roles.",
25-Mar-16,1,Honeywell retirer,"World wide company, great place to work.",Promotions are very slow and hard to get,
25-Mar-16,1,Accountant,"Lots of work with minimal supervision. Great people to work with, but often disconnected with management due to size of organization.","Budget cuts lead to staff reductions. Do not have any control over your career, can be doing a great job but if that segment declines you could be on the street.",
25-Mar-16,1,Good,Well established company and relatively stable flow of work.,"Company wise, there is high focus on growth in emerging markets and little to no growth in the US. Advancement wise, there is little opportunity for promotion into the principal engineering role.",
27-Mar-16,1,International Sales Director,Terrific Growth Opportunity for Performing Staff /Individuals,Frequent Organizational Changes Every Year,
27-Mar-16,1,The worst place I have worked in my entire career.,It was a short drive to my job. Pay is good. You may learn some good concepts but never get to implement them.,No raise 2 out the 4 years. HR is horrible they let the union employees get away with murder. Supervisors do not stay because the Honeywell Aero Space in Southbend is a dysfunctional organization in 4 years I witnessed no less than 14 supervisors start and leave.,
28-Mar-16,1,Values have changed significantly over the years,"Large company stability and the diversity in businesses to ride out economic down turns and recessions - in theory, although not in practice.","Leading the way in takeaways. Focus has shifted away from all stakeholders (stockholders, employees, customers, suppliers, community) to just stockholders.",
29-Mar-16,1,htsi,"Less management interference. They let me work without micro managing, but that is not the case for everyone.",They seem to hire and promote from the outside. Benefits are dwindling. Health care costs are up.,
29-Mar-16,1,Dynamic company,Fast pace and dynamic company. Multi-tasking and have opportunity to learn.,"Benefit is not as good, company should respect and reward employees when contribution is made.",
29-Mar-16,1,Engineer,"Being Large there are more resources available such as expertise and money for equipment. Pay was good. Great stock to own because they do make money but at a cost, see cons.","Big corporate feel,..inefficient rules and procedure. So you are pushed and measured by schedule but they put barriers all along the way like failure is by design.Jobs are sent to China or India even if you can show that it is cheaper to do it here. Not just production jobs but engineering too. Merger & Acquisition is the means of growth so always looking to buy a company, cut workforce and move product line to China,",
30-Mar-16,1,Buyer II,This Company have Good Behaviors,This Company can improve their Compensation Plan,
30-Mar-16,1,Technician,Great company to work for and great people,no room for advancement and pay raises were very low,
30-Mar-16,1,Honest Review,The people are the best asset to this company. They are friendly and knowledgeable. The work is very interesting and challenging. I really like my boss and find he is very supportive of my work.,Honeywell is adding so many tools and processes and requirements to the responsibilities of a design engineer that it is impossible to truly focus on creating quality designs. The network and CAD system are the worst I have ever seen and as a former design engineer contractor I have seen at least 10 other well performing systems. The upper management is so focused on profit that it has lost it's ability to see why its implementation of new processes and tools are costing money.,
31-Mar-16,1,Engineer,"Job Guarantee , Nice Work environment.","Very Conservative policies , Not much growth for employees",
01-Apr-16,2,Great opportunity,Great career advancement opportunities if you're willing to work for it. Flexible hours if you're getting your job done. Coworkers are awesome.,"The health insurance is terrible. Our out of pocket expenses are insane. Premiums are up again, so is the deductible.",
01-Apr-16,2,Burning out employees,Co-workers and job security for some,"The healthcare is horrible, nobody in ISC wants to work there and may have quit or found jobs in other departments. Employees are working 50-80 hours a week with no pay raises this year. The company is making record profits and revenues but that is not enough for Dave Cody.",
03-Apr-16,2,Tech support,"We have a strong, goal-driven leadership. Most of the employees are top notch. The commute is good. Only 25 minutes.",There may be some nepotism. Salaries are below average. The health insurance is terrible. There is a $3000 deductible. Its like not having insurance at all.,
04-Apr-16,2,good company could be better.,Good people. Flexible work hours. Great facilities and employee accommodations such as a gym and coffee shop.,Management not pursuing new work aggressively enough. Engineering management decisions made by people located in another state not local in New Jersey.,
04-Apr-16,2,Decent,I was able to gain a lot of valuable experience there.,Nothing bad really. There is no such thing as a perfect job.,
04-Apr-16,2,Not Bad,"Good reputation, profitable, stable, excellent global market position, lots of opportunities for internal candidates if particularly if willing to relocate/travel.",Very conservative with salary and pay benefits.,
05-Apr-16,2,Very Good Company,Very reliable and driven company. You have to put a lot in for what you get. Everyone held accountable for their actions.,"""Continually improving"" gets old after a while. Sometimes you run out of ideas.",
05-Apr-16,2,unfair,alot of overtime if you want it.,hard work doesn't get you far.,
06-Apr-16,2,Data Engineer,"Great benefits, good management, opportunities for growth",Sometimes the size can make it challenging to accomplish certain tasks,
06-Apr-16,2,Operations,Lots of opportunity to move around a large company into new roles.,Occasionally short term deliverables impact ability to drive long lasting change,
07-Apr-16,2,Support Manager,Stable Company with moderately good benefits,High work load and high expectations,
07-Apr-16,2,Worst company yet,They have a roof to keep the rain off of you.,"When it comes to penny ante bs this company takes the cake. You can't just come in and do your job, they pick at the stupidest things. Wearing the proper straps isn't even enough, you have to wear it in a certain way even if works another way. I've always wore my strap on the ankle, now they are saying I might trip over it. I'M SITTING DOWN WHEN MY STRAP IS ON!!! I refuse to wear it on my wrist because the cord caught a board once and got knocked on the floor. They keep hiring temps, but we are slow. I'm so bored of coming in with very little to do. Why don't they give work to the people already here?",
08-Apr-16,2,"Great People, Challenging Environment","Many great, intelligent people work here. Most people are helpful, and really want to do great work. Very strong engineering and scientific staff are developing some really innovative products..","The overarching focus on cost cutting has reduced resources necessary to do quality work. This, with the force reductions and furloughs has hurt morale, especially in some businesses",
08-Apr-16,2,Aerospace - leaving because of the uncommunicated changes and poor leadership,"good team mates, good site partners","abusive leaders (i.e., interim VP), no career paths",
08-Apr-16,2,Finance,"Talented people, strong operating systems, solid management overall, opportunities for career growth, strong values and behaviors preached---learned a lot, gave a lot, received a lot","Challenging work/life balance, heavy bureaucracy at times, expensive benefits, RIF & furloughs even though financially strong and while outperforming competitors",
08-Apr-16,2,Engineer,"Base salary is good, the legacy people are good","Everything else, this is a horrible company lead by unethical and dishonest senior management. They do not like employees or care for them.",
09-Apr-16,2,ADI,"Good work hours, good coworkers.","Company makes billions in profits every year, always making excuses why they can't give raises. There is only 1 reason employees don't receive raises, GREED.",
11-Apr-16,2,"A high tech, aging, bureaucratic behemoth",It has provided me with tremendous flexibility and opportunity to learn and grow with various positions I held. I have been allowed to shape my job as I saw best,"The place is aging, bureaucratic, starting to seem like a backwater in its industry (Aerospace division). It lacks vision about how its next 20 years will be",
11-Apr-16,2,Excellent,"Pay, Management, Leadership, Future, Growth","Long Hours, Politics, Culture, Morose, Lack of team work",
11-Apr-16,2,Dead end Job,"low wage pays bills, is great for someone who wants to kill there career","well where to begin, the Benefits are worse than if you work for a temp agency, The building I work in is a sick building, has made me sick for seven years, and can't see a DR. because of the lack of insurance, there is a 6,000 deductible.",
13-Apr-16,2,Supply chain manager,"People and fast paced. I learned a lot, but then trying to get out of the job for over 4 years was impossible.",Underpaid! Once I looked outside and went on interviews it was very clear how much I was underpaid even after asking for a raise many times. Medical benefits are horrible.,
14-Apr-16,2,Ratings,great work culture and work balance.,Less benefits and compensation. Management should focus on innovation,
14-Apr-16,2,Security Analyst,Nice folks working to serve the needs of the customer: USMC,"Pay is way below market value.'Benefits' are sub-par - for example, one must be a FTE for one year in order to take PTO.Petty rules that are not documented and are not universally applied.LOTS of folks 'just sitting on their thumbs daily' who believe that showing up to work is their contribution to success of the org.Too much like a pyramid scheme in 'management.' Results in silos and empires where whims are the norm that morph into rules.Firm insists on office workers wearing steel toed shoes.Universal 'industrial model' applied even where it makes zero sense to do so (see steel toes shoe requirement for office workers).",
15-Apr-16,2,General Manager,A Great place to work,Very Large corporate structure and decision making,
15-Apr-16,2,Nice place. No real advancement,"Great people, easy job.",Not a lot of upward movement,
15-Apr-16,2,Honeywell is a great company to work for,They provide great service and products to the government. They also take great care of their employees with salaries and benefits.,There are no downsides in work for Honeywell,
15-Apr-16,2,Career Stagnation,Honeywell has a great work-life balance. Telecommuting is also a big plus. They also offer good 401(k) matching and a pension (or least did).,Benefits have eroded and performance evaluations do not match merit increases. There are no bonuses and career growth is difficult to come by.,
15-Apr-16,2,Management,"Pay well, smart people, beautiful new HQ","Poor management, worst benefit, miserable working environment",
16-Apr-16,2,Great employer,Great advancement opportunities if you want,No family life balance to spend more time with family,
17-Apr-16,2,An exciting and growing user experience studio.,"Good projects in a variety of home and industrial applications, and great colleagues with amazing experience. Office location central to the metro area.","Large company with occasional political challenges. User experience design is a newer corporate initiative, and not everyone is quite on board yet.",
17-Apr-16,2,Honeywell Aerospace in Clearwater Florida,Great people and professional attitudes,"Enjoyed working there, only negative I can think of and disclose would be the many meetings to go over what was discussed at previous meetings.",
17-Apr-16,2,Honeywell,Honeywell offers great benefits and pay for our area,There is a constant change in management leading people to have issues with trust,
18-Apr-16,2,software engineer intern,1. it's a big company2. a lot of training3. team building is good,1. a lot of process2. cannot see the big tree of the whole company3. do not do visa sponsership,
19-Apr-16,2,Good company to work,NA,Started too much of cost cutting,
